NAME,variable,individualEstimates,sectors
"Chesapeake city, Virginia",DP03_0042,23167,"Educational services, and health care and social assistance"
"Chesapeake city, Virginia",DP03_0037,12986,Retail trade
"Franklin city, Virginia",DP03_0042,837,"Educational services, and health care and social assistance"
"Franklin city, Virginia",DP03_0035,390,Manufacturing
"Gloucester County, Virginia",DP03_0042,3254,"Educational services, and health care and social assistance"
"Gloucester County, Virginia",DP03_0037,2613,Retail trade
"Hampton city, Virginia",DP03_0042,13817,"Educational services, and health care and social assistance"
"Hampton city, Virginia",DP03_0035,6897,Manufacturing
"Isle of Wight County, Virginia",DP03_0042,3303,"Educational services, and health care and social assistance"
"Isle of Wight County, Virginia",DP03_0035,2915,Manufacturing
"James City County, Virginia",DP03_0042,8127,"Educational services, and health care and social assistance"
"James City County, Virginia",DP03_0043,3975,"Arts, entertainment, and recreation, and accommodation and food services"
"Mathews County, Virginia",DP03_0042,1221,"Educational services, and health care and social assistance"
"Mathews County, Virginia",DP03_0037,529,Retail trade
"Newport News city, Virginia",DP03_0042,18390,"Educational services, and health care and social assistance"
"Newport News city, Virginia",DP03_0037,11118,Retail trade
"Norfolk city, Virginia",DP03_0042,23767,"Educational services, and health care and social assistance"
"Norfolk city, Virginia",DP03_0037,12748,Retail trade
"Poquoson city, Virginia",DP03_0042,1166,"Educational services, and health care and social assistance"
"Poquoson city, Virginia",DP03_0041,943,"Professional, scientific, and management, and administrative and waste management services"
"Portsmouth city, Virginia",DP03_0042,9110,"Educational services, and health care and social assistance"
"Portsmouth city, Virginia",DP03_0037,4840,Retail trade
"Southampton County, Virginia",DP03_0042,2006,"Educational services, and health care and social assistance"
"Southampton County, Virginia",DP03_0037,1202,Retail trade
"Suffolk city, Virginia",DP03_0042,9439,"Educational services, and health care and social assistance"
"Suffolk city, Virginia",DP03_0035,4688,Manufacturing
"Virginia Beach city, Virginia",DP03_0042,45931,"Educational services, and health care and social assistance"
"Virginia Beach city, Virginia",DP03_0041,26004,"Professional, scientific, and management, and administrative and waste management services"
"Williamsburg city, Virginia",DP03_0042,2235,"Educational services, and health care and social assistance"
"Williamsburg city, Virginia",DP03_0043,1395,"Arts, entertainment, and recreation, and accommodation and food services"
"York County, Virginia",DP03_0042,6815,"Educational services, and health care and social assistance"
"York County, Virginia",DP03_0045,3998,Public administration
