NAME,variable,individualEstimates,sectors
"Chesapeake city, Virginia",DP03_0042,23758,"Educational services, and health care and social assistance"
"Chesapeake city, Virginia",DP03_0037,13043,Retail trade
"Franklin city, Virginia",DP03_0042,762,"Educational services, and health care and social assistance"
"Franklin city, Virginia",DP03_0035,463,Manufacturing
"Gloucester County, Virginia",DP03_0042,3827,"Educational services, and health care and social assistance"
"Gloucester County, Virginia",DP03_0037,2601,Retail trade
"Hampton city, Virginia",DP03_0042,13125,"Educational services, and health care and social assistance"
"Hampton city, Virginia",DP03_0037,7117,Retail trade
"Isle of Wight County, Virginia",DP03_0042,3047,"Educational services, and health care and social assistance"
"Isle of Wight County, Virginia",DP03_0035,2901,Manufacturing
"James City County, Virginia",DP03_0042,7818,"Educational services, and health care and social assistance"
"James City County, Virginia",DP03_0041,3928,"Professional, scientific, and management, and administrative and waste management services"
"Mathews County, Virginia",DP03_0042,1273,"Educational services, and health care and social assistance"
"Mathews County, Virginia",DP03_0037,424,Retail trade
"Newport News city, Virginia",DP03_0042,17637,"Educational services, and health care and social assistance"
"Newport News city, Virginia",DP03_0037,10532,Retail trade
"Norfolk city, Virginia",DP03_0042,23709,"Educational services, and health care and social assistance"
"Norfolk city, Virginia",DP03_0037,12857,Retail trade
"Poquoson city, Virginia",DP03_0042,1203,"Educational services, and health care and social assistance"
"Poquoson city, Virginia",DP03_0041,940,"Professional, scientific, and management, and administrative and waste management services"
"Portsmouth city, Virginia",DP03_0042,9578,"Educational services, and health care and social assistance"
"Portsmouth city, Virginia",DP03_0037,4707,Retail trade
"Southampton County, Virginia",DP03_0042,1920,"Educational services, and health care and social assistance"
"Southampton County, Virginia",DP03_0037,1096,Retail trade
"Suffolk city, Virginia",DP03_0042,9595,"Educational services, and health care and social assistance"
"Suffolk city, Virginia",DP03_0035,4899,Manufacturing
"Virginia Beach city, Virginia",DP03_0042,46146,"Educational services, and health care and social assistance"
"Virginia Beach city, Virginia",DP03_0041,26235,"Professional, scientific, and management, and administrative and waste management services"
"Williamsburg city, Virginia",DP03_0042,2351,"Educational services, and health care and social assistance"
"Williamsburg city, Virginia",DP03_0043,1218,"Arts, entertainment, and recreation, and accommodation and food services"
"York County, Virginia",DP03_0042,7039,"Educational services, and health care and social assistance"
"York County, Virginia",DP03_0045,4027,Public administration
