NAME,variable,individualEstimates,sectors
"Chesapeake city, Virginia",DP03_0042,23105,"Educational services, and health care and social assistance"
"Chesapeake city, Virginia",DP03_0041,12961,"Professional, scientific, and management, and administrative and waste management services"
"Franklin city, Virginia",DP03_0042,834,"Educational services, and health care and social assistance"
"Franklin city, Virginia",DP03_0035,439,Manufacturing
"Gloucester County, Virginia",DP03_0042,4016,"Educational services, and health care and social assistance"
"Gloucester County, Virginia",DP03_0037,2264,Retail trade
"Hampton city, Virginia",DP03_0042,12800,"Educational services, and health care and social assistance"
"Hampton city, Virginia",DP03_0037,7356,Retail trade
"Isle of Wight County, Virginia",DP03_0042,3085,"Educational services, and health care and social assistance"
"Isle of Wight County, Virginia",DP03_0035,2813,Manufacturing
"James City County, Virginia",DP03_0042,7835,"Educational services, and health care and social assistance"
"James City County, Virginia",DP03_0041,3959,"Professional, scientific, and management, and administrative and waste management services"
"Mathews County, Virginia",DP03_0042,956,"Educational services, and health care and social assistance"
"Mathews County, Virginia",DP03_0035,539,Manufacturing
"Newport News city, Virginia",DP03_0042,17435,"Educational services, and health care and social assistance"
"Newport News city, Virginia",DP03_0037,10695,Retail trade
"Norfolk city, Virginia",DP03_0042,22625,"Educational services, and health care and social assistance"
"Norfolk city, Virginia",DP03_0037,13511,Retail trade
"Poquoson city, Virginia",DP03_0042,1210,"Educational services, and health care and social assistance"
"Poquoson city, Virginia",DP03_0041,854,"Professional, scientific, and management, and administrative and waste management services"
"Portsmouth city, Virginia",DP03_0042,9728,"Educational services, and health care and social assistance"
"Portsmouth city, Virginia",DP03_0037,4857,Retail trade
"Southampton County, Virginia",DP03_0042,1846,"Educational services, and health care and social assistance"
"Southampton County, Virginia",DP03_0035,1175,Manufacturing
"Suffolk city, Virginia",DP03_0042,8615,"Educational services, and health care and social assistance"
"Suffolk city, Virginia",DP03_0035,5349,Manufacturing
"Virginia Beach city, Virginia",DP03_0042,43835,"Educational services, and health care and social assistance"
"Virginia Beach city, Virginia",DP03_0037,27235,Retail trade
"Williamsburg city, Virginia",DP03_0042,2089,"Educational services, and health care and social assistance"
"Williamsburg city, Virginia",DP03_0043,1201,"Arts, entertainment, and recreation, and accommodation and food services"
"York County, Virginia",DP03_0042,6968,"Educational services, and health care and social assistance"
"York County, Virginia",DP03_0045,4238,Public administration
