NAME,variable,individualEstimates,sectors
"Chesapeake city, Virginia",DP03_0042,23677,"Educational services, and health care and social assistance"
"Chesapeake city, Virginia",DP03_0037,13601,Retail trade
"Franklin city, Virginia",DP03_0042,872,"Educational services, and health care and social assistance"
"Franklin city, Virginia",DP03_0035,358,Manufacturing
"Gloucester County, Virginia",DP03_0042,4036,"Educational services, and health care and social assistance"
"Gloucester County, Virginia",DP03_0037,2292,Retail trade
"Hampton city, Virginia",DP03_0042,12849,"Educational services, and health care and social assistance"
"Hampton city, Virginia",DP03_0035,7027,Manufacturing
"Isle of Wight County, Virginia",DP03_0042,2937,"Educational services, and health care and social assistance"
"Isle of Wight County, Virginia",DP03_0035,2869,Manufacturing
"James City County, Virginia",DP03_0042,8113,"Educational services, and health care and social assistance"
"James City County, Virginia",DP03_0041,3832,"Professional, scientific, and management, and administrative and waste management services"
"Mathews County, Virginia",DP03_0042,1177,"Educational services, and health care and social assistance"
"Mathews County, Virginia",DP03_0037,429,Retail trade
"Newport News city, Virginia",DP03_0042,17563,"Educational services, and health care and social assistance"
"Newport News city, Virginia",DP03_0037,10927,Retail trade
"Norfolk city, Virginia",DP03_0042,23135,"Educational services, and health care and social assistance"
"Norfolk city, Virginia",DP03_0037,13050,Retail trade
"Poquoson city, Virginia",DP03_0042,1194,"Educational services, and health care and social assistance"
"Poquoson city, Virginia",DP03_0041,857,"Professional, scientific, and management, and administrative and waste management services"
"Portsmouth city, Virginia",DP03_0042,9435,"Educational services, and health care and social assistance"
"Portsmouth city, Virginia",DP03_0037,4684,Retail trade
"Southampton County, Virginia",DP03_0042,1689,"Educational services, and health care and social assistance"
"Southampton County, Virginia",DP03_0037,1145,Retail trade
"Suffolk city, Virginia",DP03_0042,9058,"Educational services, and health care and social assistance"
"Suffolk city, Virginia",DP03_0035,5449,Manufacturing
"Virginia Beach city, Virginia",DP03_0042,43732,"Educational services, and health care and social assistance"
"Virginia Beach city, Virginia",DP03_0037,26309,Retail trade
"Williamsburg city, Virginia",DP03_0042,2145,"Educational services, and health care and social assistance"
"Williamsburg city, Virginia",DP03_0043,1121,"Arts, entertainment, and recreation, and accommodation and food services"
"York County, Virginia",DP03_0042,7064,"Educational services, and health care and social assistance"
"York County, Virginia",DP03_0045,4056,Public administration
