NAME,variable,individualEstimates,sectors
"Chesapeake city, Virginia",DP03_0042,24952,"Educational services, and health care and social assistance"
"Chesapeake city, Virginia",DP03_0041,12919,"Professional, scientific, and management, and administrative and waste management services"
"Franklin city, Virginia",DP03_0042,1018,"Educational services, and health care and social assistance"
"Franklin city, Virginia",DP03_0035,629,Manufacturing
"Gloucester County, Virginia",DP03_0042,3409,"Educational services, and health care and social assistance"
"Gloucester County, Virginia",DP03_0037,2495,Retail trade
"Hampton city, Virginia",DP03_0042,14937,"Educational services, and health care and social assistance"
"Hampton city, Virginia",DP03_0035,7142,Manufacturing
"Isle of Wight County, Virginia",DP03_0042,3670,"Educational services, and health care and social assistance"
"Isle of Wight County, Virginia",DP03_0035,3097,Manufacturing
"James City County, Virginia",DP03_0042,8222,"Educational services, and health care and social assistance"
"James City County, Virginia",DP03_0043,4585,"Arts, entertainment, and recreation, and accommodation and food services"
"Mathews County, Virginia",DP03_0042,966,"Educational services, and health care and social assistance"
"Mathews County, Virginia",DP03_0037,715,Retail trade
"Newport News city, Virginia",DP03_0042,18860,"Educational services, and health care and social assistance"
"Newport News city, Virginia",DP03_0035,10914,Manufacturing
"Norfolk city, Virginia",DP03_0042,24410,"Educational services, and health care and social assistance"
"Norfolk city, Virginia",DP03_0043,13105,"Arts, entertainment, and recreation, and accommodation and food services"
"Poquoson city, Virginia",DP03_0042,1198,"Educational services, and health care and social assistance"
"Poquoson city, Virginia",DP03_0041,1016,"Professional, scientific, and management, and administrative and waste management services"
"Portsmouth city, Virginia",DP03_0042,10157,"Educational services, and health care and social assistance"
"Portsmouth city, Virginia",DP03_0037,5030,Retail trade
"Southampton County, Virginia",DP03_0042,2063,"Educational services, and health care and social assistance"
"Southampton County, Virginia",DP03_0035,955,Manufacturing
"Suffolk city, Virginia",DP03_0042,10073,"Educational services, and health care and social assistance"
"Suffolk city, Virginia",DP03_0035,5141,Manufacturing
"Virginia Beach city, Virginia",DP03_0042,48732,"Educational services, and health care and social assistance"
"Virginia Beach city, Virginia",DP03_0041,26707,"Professional, scientific, and management, and administrative and waste management services"
"Williamsburg city, Virginia",DP03_0042,2382,"Educational services, and health care and social assistance"
"Williamsburg city, Virginia",DP03_0043,1158,"Arts, entertainment, and recreation, and accommodation and food services"
"York County, Virginia",DP03_0042,6972,"Educational services, and health care and social assistance"
"York County, Virginia",DP03_0045,4062,Public administration
