NAME,variable,individualEstimates,sectors
"Chesapeake city, Virginia",DP03_0042,23532,"Educational services, and health care and social assistance"
"Chesapeake city, Virginia",DP03_0037,12862,Retail trade
"Franklin city, Virginia",DP03_0042,979,"Educational services, and health care and social assistance"
"Franklin city, Virginia",DP03_0045,467,Public administration
"Gloucester County, Virginia",DP03_0042,3114,"Educational services, and health care and social assistance"
"Gloucester County, Virginia",DP03_0037,2666,Retail trade
"Hampton city, Virginia",DP03_0042,13840,"Educational services, and health care and social assistance"
"Hampton city, Virginia",DP03_0035,7201,Manufacturing
"Isle of Wight County, Virginia",DP03_0042,3510,"Educational services, and health care and social assistance"
"Isle of Wight County, Virginia",DP03_0035,3225,Manufacturing
"James City County, Virginia",DP03_0042,8318,"Educational services, and health care and social assistance"
"James City County, Virginia",DP03_0041,3966,"Professional, scientific, and management, and administrative and waste management services"
"Mathews County, Virginia",DP03_0042,1268,"Educational services, and health care and social assistance"
"Mathews County, Virginia",DP03_0037,454,Retail trade
"Newport News city, Virginia",DP03_0042,18501,"Educational services, and health care and social assistance"
"Newport News city, Virginia",DP03_0037,11023,Retail trade
"Norfolk city, Virginia",DP03_0042,23236,"Educational services, and health care and social assistance"
"Norfolk city, Virginia",DP03_0037,12726,Retail trade
"Poquoson city, Virginia",DP03_0042,1211,"Educational services, and health care and social assistance"
"Poquoson city, Virginia",DP03_0041,901,"Professional, scientific, and management, and administrative and waste management services"
"Portsmouth city, Virginia",DP03_0042,9765,"Educational services, and health care and social assistance"
"Portsmouth city, Virginia",DP03_0037,4880,Retail trade
"Southampton County, Virginia",DP03_0042,2093,"Educational services, and health care and social assistance"
"Southampton County, Virginia",DP03_0037,969,Retail trade
"Suffolk city, Virginia",DP03_0042,9635,"Educational services, and health care and social assistance"
"Suffolk city, Virginia",DP03_0035,4780,Manufacturing
"Virginia Beach city, Virginia",DP03_0042,47114,"Educational services, and health care and social assistance"
"Virginia Beach city, Virginia",DP03_0041,25613,"Professional, scientific, and management, and administrative and waste management services"
"Williamsburg city, Virginia",DP03_0042,2175,"Educational services, and health care and social assistance"
"Williamsburg city, Virginia",DP03_0043,1245,"Arts, entertainment, and recreation, and accommodation and food services"
"York County, Virginia",DP03_0042,6717,"Educational services, and health care and social assistance"
"York County, Virginia",DP03_0045,4297,Public administration
