2010,136,Chesapeake City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",84.66%,"1,219","1,032",87.69%,8.86%
2010,135,Franklin City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",77.23%,101,78,79.21%,17.82%
2010,36,Gloucester County,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",81.97%,61,50,85.25%,9.84%
2010,112,Hampton City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",78.06%,"1,167",911,85.26%,10.71%
2010,46,Isle of Wight County,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",83.21%,137,114,85.40%,12.41%
2010,57,Mathews County,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",100.00%,19,19,100.00%,0.00%
2010,117,Newport News City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",72.85%,"1,359",990,78.00%,14.28%
2010,118,Norfolk City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",69.21%,"1,400",969,74.71%,18.57%
2010,142,Poquoson City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",<,<,<,<,<
2010,121,Portsmouth City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",66.10%,935,618,68.34%,22.14%
2010,87,Southampton County,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",77.36%,106,82,80.19%,12.26%
2010,127,Suffolk City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",79.78%,643,513,82.74%,12.91%
2010,128,Virginia Beach City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",81.25%,"1,643","1,335",84.36%,10.59%
2010,131,Williamsburg-James City County,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",75.68%,185,140,78.38%,14.59%
2010,98,York County,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",87.95%,166,146,89.16%,6.63%
2011,136,Chesapeake City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",86.24%,"1,112",959,89.39%,8.45%
2011,135,Franklin City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",80.95%,84,68,83.33%,11.90%
2011,36,Gloucester County,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",85.19%,54,46,85.19%,11.11%
2011,112,Hampton City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",84.04%,"1,134",953,89.51%,6.17%
2011,46,Isle of Wight County,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",88.06%,134,118,88.81%,8.21%
2011,57,Mathews County,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",75.00%,16,12,75.00%,12.50%
2011,117,Newport News City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",77.12%,"1,311","1,011",82.91%,9.23%
2011,118,Norfolk City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",70.48%,"1,531","1,079",76.09%,18.16%
2011,142,Poquoson City,On-Time Graduation Rate,4,"Black, not of Hispanic origin",<,<,<,<,<
2011,121,Portsmouth City,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",75.80%,781,592,79.00%,14.47%
2011,87,Southampton County,On-Time Graduation Rate,4 yr rate,"Black, not of Hispanic origin",82.88%,111,92,85.59%,9.01%
