NAME,variable,individualEstimates,sectors
"Chesapeake city, Virginia",DP03_0042,23262,"Educational services, and health care and social assistance"
"Chesapeake city, Virginia",DP03_0037,12548,Retail trade
"Franklin city, Virginia",DP03_0042,834,"Educational services, and health care and social assistance"
"Franklin city, Virginia",DP03_0035,440,Manufacturing
"Gloucester County, Virginia",DP03_0042,4122,"Educational services, and health care and social assistance"
"Gloucester County, Virginia",DP03_0037,2340,Retail trade
"Hampton city, Virginia",DP03_0042,12662,"Educational services, and health care and social assistance"
"Hampton city, Virginia",DP03_0037,7424,Retail trade
"Isle of Wight County, Virginia",DP03_0042,3383,"Educational services, and health care and social assistance"
"Isle of Wight County, Virginia",DP03_0035,2918,Manufacturing
"James City County, Virginia",DP03_0042,7092,"Educational services, and health care and social assistance"
"James City County, Virginia",DP03_0043,4318,"Arts, entertainment, and recreation, and accommodation and food services"
"Mathews County, Virginia",DP03_0042,902,"Educational services, and health care and social assistance"
"Mathews County, Virginia",DP03_0037,517,Retail trade
"Newport News city, Virginia",DP03_0042,16681,"Educational services, and health care and social assistance"
"Newport News city, Virginia",DP03_0037,10282,Retail trade
"Norfolk city, Virginia",DP03_0042,22543,"Educational services, and health care and social assistance"
"Norfolk city, Virginia",DP03_0037,13340,Retail trade
"Poquoson city, Virginia",DP03_0042,1181,"Educational services, and health care and social assistance"
"Poquoson city, Virginia",DP03_0041,861,"Professional, scientific, and management, and administrative and waste management services"
"Portsmouth city, Virginia",DP03_0042,9857,"Educational services, and health care and social assistance"
"Portsmouth city, Virginia",DP03_0037,4839,Retail trade
"Southampton County, Virginia",DP03_0042,1649,"Educational services, and health care and social assistance"
"Southampton County, Virginia",DP03_0035,1321,Manufacturing
"Suffolk city, Virginia",DP03_0042,8424,"Educational services, and health care and social assistance"
"Suffolk city, Virginia",DP03_0035,5486,Manufacturing
"Virginia Beach city, Virginia",DP03_0042,44278,"Educational services, and health care and social assistance"
"Virginia Beach city, Virginia",DP03_0037,26730,Retail trade
"Williamsburg city, Virginia",DP03_0042,1806,"Educational services, and health care and social assistance"
"Williamsburg city, Virginia",DP03_0043,1517,"Arts, entertainment, and recreation, and accommodation and food services"
"York County, Virginia",DP03_0042,6803,"Educational services, and health care and social assistance"
"York County, Virginia",DP03_0045,4188,Public administration
